site,y.1,y.2,y.3,year,c.year,SITE,POINT,WMA,allgrss100,trees100,jdate.1,jdate.2,jdate.3,obs.1,obs.2,obs.3,minutes.1,minutes.2,minutes.3,cloud.1,cloud.2,cloud.3,wind.1,wind.2,wind.3,temp.1,temp.2,temp.3
OSAG.9,0,0,0,1,2010,OSAG.9,9,OSAG,0.767833,0.110736,10131,10151,10179,GDG,GDG,GDG,424,435,510,100,0,50,2.9,1.3,1.7,11.2,16.1,27.2
PAWN.1,0,1,0,1,2010,PAWN.1,1,PAWN,0.707611,0.150555,10134,10149,10177,GDG,GDG,GDG,574,430,432,70,0,5,4.7,2.9,6.1,17.2,19.3,25.5
PAWN.2,0,0,0,1,2010,PAWN.2,2,PAWN,0.665891,0.196954,10134,10149,10177,GDG,GDG,GDG,532,472,478,20,2,5,5.1,6.6,9.6,22,21.7,27.7
PAWN.3,1,0,0,1,2010,PAWN.3,3,PAWN,0.713149,0.156157,10134,10149,10177,GDG,GDG,GDG,588,419,594,70,0,2,4.4,3.4,5.7,18.2,19.4,32
PAWN.4,0,0,0,1,2010,PAWN.4,4,PAWN,0.710348,0.170608,10134,10149,10177,GDG,GDG,GDG,417,591,571,1,2,5,1,8.3,9,11.8,29.2,30.2
PAWN.5,0,0,0,1,2010,PAWN.5,5,PAWN,0.690964,0.176656,10134,10149,10177,GDG,GDG,GDG,557,446,447,40,0,5,6.9,3.6,5.9,21.8,20.3,25.9
PAWN.6,0,0,0,1,2010,PAWN.6,6,PAWN,0.698921,0.184582,10134,10149,10177,GDG,GDG,GDG,440,573,554,5,0,10,1,8.5,4,12.4,27.3,30.2
PAWN.7,0,0,0,1,2010,PAWN.7,7,PAWN,0.672566,0.215106,10134,10149,10177,GDG,GDG,GDG,482,516,515,10,2,15,1.2,11.3,6,18.2,24,28.8
PAWN.8,0,0,0,1,2010,PAWN.8,8,PAWN,0.689786,0.18856,10134,10149,10177,GDG,GDG,GDG,499,500,500,15,2,15,3.3,10.1,6.8,17.1,23,28.1
PAWN.9,0,0,0,1,2010,PAWN.9,9,PAWN,0.668937,0.21412,10134,10149,10177,GDG,GDG,GDG,465,534,528,5,2,10,1.1,3.7,2.6,14.4,26.3,30.6
PINT.1,0,0,0,1,2010,PINT.1,1,PINT,0.0833307,0.00455168,10133,10148,10180,GDG,JDW,JDW,380,514,491,10,0,10,2.2,7.1,2.3,5.4,22.6,22.8
PINT.2,0,0,0,1,2010,PINT.2,2,PINT,0.0908425,0.00353312,10133,10148,10180,GDG,JDW,JDW,520,417,551,90,0,5,14.7,6.6,5,5.8,17.2,24.9
PINT.3,0,0,NA,1,2010,PINT.3,3,PINT,0.0954579,0.00413789,10133,10148,NA,GDG,JDW,NA,441,454,NA,40,0,NA,10.3,6.5,NA,7.1,19,NA
PINT.4,0,0,0,1,2010,PINT.4,4,PINT,0.0955852,0.00455168,10133,10148,10180,GDG,JDW,JDW,461,478,536,30,0,5,12.5,5.3,5,6.4,20.3,23.6
PINT.5,0,0,NA,1,2010,PINT.5,5,PINT,0.0937391,0.00343763,10133,10148,NA,GDG,JDW,NA,546,397,NA,50,0,NA,12.7,5.1,NA,9.9,16.8,NA
PINT.6,0,0,0,1,2010,PINT.6,6,PINT,0.0876595,0.00458351,10133,10148,10180,GDG,JDW,CFJ,417,503,497,40,0,3,5.2,4.1,2,7.9,22.5,21.8
PINT.7,0,1,1,1,2010,PINT.7,7,PINT,0.0926568,0.00337397,10133,10148,10180,GDG,JDW,CFJ,503,432,572,90,0,3,12.1,5.1,3.2,6.8,18.8,24.9
PINT.8,0,0,NA,1,2010,PINT.8,8,PINT,0.0952669,0.00429704,10133,10148,NA,GDG,JDW,NA,480,442,NA,80,0,NA,10.6,5.9,NA,7.2,19.8,NA
PINT.9,0,1,NA,1,2010,PINT.9,9,PINT,0.099373,0.00353312,10133,10148,NA,GDG,JDW,NA,561,383,NA,40,0,NA,12.3,4.2,NA,11.1,15.8,NA
ROSE.1,0,0,0,1,2010,ROSE.1,1,ROSE,0.528217,0.313588,10138,10150,10178,JDW,GDG,GDG,423,481,486,100,80,50,2.4,2.8,2,9.8,22.7,25.6
ROSE.2,0,0,0,1,2010,ROSE.2,2,ROSE,0.496546,0.207244,10138,10150,10178,CFJ,GDG,GDG,425,586,376,100,100,60,1.2,7.2,0,19.9,21.3,22.6
